																																																																																	Alpha	Growth Stage		No.																																									
																																																																																	S	Sowing		1																																									
																																																																																	E	Emergence		3																																									
																																																																																	J	Juvenile		4																																									
																																																																																	Fi	Visible Bud		5																																									
																																																																																	Fl	Flower Open		6																																									
																																																Leaf appearance & phenology																																			0																																										
																																							Perenial biomass									"Shoot measured per plot (1-10), 1o = mainstem node number, 2o = number of branched leaves"																																																																													
														Sub Sample		Leaf Area Index & Leaf:Stem Sub Sample (20 plant)							Biomass (kg/ha)				DM%			SLA (cm2/g)		Leaf Area Index		1.33						DW (g)			Root Biomass kg DM/ha				m2	1			2			3			4			5			6			7			8			9			10			Average			Phenology												Soil volumetric water content (mm) for 0.1-2.3 m layers																																
Data	Site	Date	Season	Sowing Date	Rep	Plot	Seed	Rotation No.	Harvest No.	DAS	Height	Shoot No.	Total FW (g)	FW (g)	DW (g)	Leaf Area (cm)	Leaf FW (g)	Leaf DW (g)	Stem FW (g)	Stem DW (g)	TFW (g)	TDW (g)	Total.DM	Leaf.DM	Stem.DM	Shoots/m2	Total%	Leaf%	Stem%	SLA (FW)	SLA (DW)	LAI (FW)	LAI (DW)	LAImod	Protein (g/100g)	MJME	N%	Shoot N	Plant No.	Crown DW	0-5 cm DW	5-30 cm DW	Crown	0-5 cm	5-30 cm	Root.Total	Plant No.	1.1?	1.2?	1.R	2.1?	2.2?	2.R	3.1?	3.2?	3.R	4.1?	4.2?	4.R	5.1?	5.2?	5.R	6.1?	6.2?	6.R	7.1?	7.2?	7.R	8.1?	8.2?	8.R	9.1?	9.2?	9.R	10.1?	10.2?	10.R	MS node No	2? Leaf No.	Total Leaf No.	S	E	J	Fi	Fl	Growth stage	Plant No	S_No	E_No	J_No	Fi_No	F_No	SWCES_0-0.2	SWC 0.1	SWC 0.2	SWC 0.3	SWC 0.4	SWC 0.5	SWC 0.6	SWC 0.7	SWC 0.8	SWC 0.9	SWC 0.10	SWC 0.11	SWC 0.12	SWC 0.13	SWC 0.14	SWC 0.15	SWC 0.16	SWC 0.17	SWC 0.18	SWC 0.19	SWC 0.20	SWC 0.21	SWC 0.22	SWC 0.23	SWC 2.3 m (mm)			AD	I12				
Biomass	AshleyDene	4-Jan-11	2010/11	SD1	1	8	CS	1	1	75			35.0	35.00	9.70	773.75	35.00	9.70	0.00	0.00	35.00	9.70	485.0	485.0	0.0		0.28	0.28		22.11	79.77	0.39	0.39	0.51																																																																																					SD1	21-Oct-10	4-Oct-10				
Biomass	AshleyDene	4-Jan-11	2010/11	SD1	2	32	CS	1	1	75			17.1	17.10	5.20	382.23	17.10	5.20	0.00	0.00	17.10	5.20	260.0	260.0	0.0		0.30	0.30		22.35	73.51	0.19	0.19	0.25																																																																																					SD2	9-Nov-10	4-Nov-10				
Biomass	AshleyDene	4-Jan-11	2010/11	SD1	3	50	CS	1	1	75			25.5	25.50	7.89	522.60	25.50	7.89	0.00	0.00	25.50	7.89	394.5	394.5	0.0		0.31	0.31		20.49	66.24	0.26	0.26	0.35																																																																																					SD3	8-Dec-10	2-Dec-10				
Biomass	AshleyDene	4-Jan-11	2010/11	SD1	4	73	CS	1	1	75			19.7	19.70	5.91	421.21	19.70	5.91	0.00	0.00	19.70	5.91	295.5	295.5	0.0		0.30	0.30		21.38	71.27	0.21	0.21	0.28																																																																																					SD4	13-Jan-11	10-Jan-11				
Biomass	AshleyDene	14-Jan-11	2010/11	SD1	1	8	CS	1	2	85		124	33.6	24.28	7.67	204.41	9.32	3.17	0.00	0.00	9.32	3.17	530.7	530.7	0.0	620	0.32	0.34		21.93	64.48	0.37	0.34	0.45																																																																																					SD5	3-Feb-11	7-Feb-11				
Biomass	AshleyDene	14-Jan-11	2010/11	SD1	2	32	CS	1	2	85		78	34.9	22.79	6.97	262.41	12.11	3.94	0.00	0.00	12.11	3.94	533.7	533.7	0.0	390	0.31	0.33		21.67	66.60	0.38	0.36	0.47																																																																																					SD6	10-Oct-11	10-Oct-11				
Biomass	AshleyDene	14-Jan-11	2010/11	SD1	3	50	CS	1	2	85		119	32.2	24.91	8.37	164.93	7.29	2.66	0.00	0.00	7.29	2.66	541.0	541.0	0.0	595	0.34	0.36		22.62	62.00	0.36	0.34	0.45																																																																																					SD7	7-Nov-11	7-Nov-11				
Biomass	AshleyDene	14-Jan-11	2010/11	SD1	4	73	CS	1	2	85		110	25.2	18.91	5.96	140.56	6.29	2.15	0.00	0.00	6.29	2.15	397.1	397.1	0.0	550	0.32	0.34		22.35	65.38	0.28	0.26	0.35																																																																																					SD8	9-Dec-11	9-Dec-11				
Biomass	AshleyDene	24-Jan-11	2010/11	SD1	1	8	CS	1	3	95		130	54.2	38.60	11.58	319.37	12.95	4.15	1.65	0.80	14.60	4.95	813.0	681.6	131.4	650	0.30	0.32	0.48	24.66	76.96	0.67	0.63	0.83																																																																																					SD9	10-Jan-12	10-Jan-12				
Biomass	AshleyDene	24-Jan-11	2010/11	SD1	2	32	CS	1	3	95		98	51.3	34.30	10.80	300.79	15.08	4.82	1.58	0.80	16.66	5.62	807.6	692.7	115.0	490	0.31	0.32	0.51	19.95	62.40	0.51	0.50	0.67																																																																																					SD10	17-Feb-12	17-Feb-12				
